full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aaron Cresswell,30,629683200,Premier League,2014/2015,Defender,West Ham United,3420,1710,1710,England,38,19,19,2,2,0,4,2,2,0,0,9,7,2,42,14,28,5,0,0.16,0.11,0.05,0.11,0,1710,1.11,81,90,684,855,0.13,213,121,63,8
Aaron Lennon,33,545526000,Premier League,2014/2015,Midfielder,Everton,1347,655,692,England,23,7,8,2,0,2,2,1,1,0,0,7,6,1,16,5,11,3,0,0.27,0.13,0.13,0,0.26,674,1.07,84,59,449,674,0.2,131,105,-1,8
Aaron Mitchell,24,829436400,Premier League,2014/2015,Midfielder,Queens Park Rangers,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aaron Ramsey,29,662169600,Premier League,2014/2015,Midfielder,Arsenal,2009,975,1034,Wales,29,11,12,6,2,4,6,5,1,0,0,11,6,5,18,5,13,6,0,0.54,0.27,0.27,0.18,0.35,335,0.81,112,69,335,335,0.27,59,27,-1,4
Abel Mathías Hernández Platero,30,650070000,Premier League,2014/2015,Forward,Hull City,1312,861,451,Uruguay,25,9,6,4,3,1,1,1,0,1,0,7,5,2,17,13,4,2,0,0.34,0.07,0.27,0.31,0.2,328,1.17,77,52,656,1312,0.14,62,183,-1,3
Adam Armstrong,23,855532800,Premier League,2014/2015,Forward,Newcastle United,202,97,105,England,11,0,1,0,0,0,1,1,0,0,0,1,1,0,6,2,4,1,0,0.45,0.45,0,0,0,0,2.67,34,18,202,202,0.45,-1,-1,-1,23
Adam David Lallana,32,579222000,Premier League,2014/2015,Midfielder,Liverpool,1790,1051,739,England,27,14,9,5,4,1,3,2,1,0,0,8,4,4,21,9,12,4,0,0.4,0.15,0.25,0.34,0.12,358,1.06,85,66,448,597,0.2,71,87,-1,4
Adam Johnson,33,553215600,Premier League,2014/2015,Midfielder,Sunderland,2082,1005,1077,England,32,11,12,4,2,2,1,0,1,1,0,13,6,7,27,10,17,2,0,0.22,0.04,0.17,0.18,0.17,521,1.17,77,65,1041,2082,0.09,103,225,-1,4
Adam Smith,27,722476800,Premier League,2014/2015,Goalkeeper,Leicester City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adel Taarabt,31,611967600,Premier League,2014/2015,Midfielder,Queens Park Rangers,294,91,203,Morocco,7,1,2,0,0,0,0,0,0,0,0,1,1,0,5,0,5,0,0,0,0,0,0,0,0,1.53,59,42,0,0,0,273,263,-1,19
