full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aaron Hughes,40,310867200,Premier League,2007/2008,Defender,Fulham,2660,1350,1310,Northern Ireland,30,15,14,0,0,0,0,0,0,0,0,7,3,4,43,22,21,0,0,0,0,0,0,0,0,1.45,62,89,0,0,0,287,211,124,19
Aaron Lennon,33,545529600,Premier League,2007/2008,Midfielder,Tottenham Hotspur,2138,1209,929,England,29,14,11,2,2,0,0,0,0,0,0,7,4,3,29,20,9,1,0,0.08,0,0.08,0.15,0,1069,1.22,74,74,2138,0,0.04,182,212,-1,10
Aaron Mokoena,39,343958400,Premier League,2007/2008,Defender,Blackburn Rovers,760,329,431,South Africa,18,4,4,0,0,0,0,0,0,0,0,2,1,1,11,5,6,2,0,0,0,0,0,0,0,1.3,69,42,380,0,0.24,328,264,106,19
Abdoulaye Diagne-Fayé,42,257299200,Premier League,2007/2008,Defender,Newcastle United,1746,965,781,Senegal,23,11,10,1,1,0,0,0,0,0,0,4,3,1,28,16,12,5,0,0.05,0,0.05,0.09,0,1746,1.44,62,76,349,0,0.26,210,407,123,11
Abdoulaye Méïté,39,339638400,Premier League,2007/2008,Defender,Bolton Wanderers,1802,900,902,Côte d'Ivoire,21,10,11,0,0,0,0,0,0,0,0,5,5,0,29,6,23,1,0,0,0,0,0,0,0,1.45,62,86,1802,0,0.05,392,52,126,21
Adam Federici,35,475977600,Premier League,2007/2008,Goalkeeper,Reading,0,0,0,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adam Johnson,33,553219200,Premier League,2007/2008,Midfielder,Middlesbrough,460,280,180,England,19,2,1,1,1,0,0,0,0,0,0,4,2,2,6,5,1,2,0,0.2,0,0.2,0.32,0,460,1.17,77,24,230,0,0.39,92,225,-1,12
Adel Taarabt,31,611971200,Premier League,2007/2008,Midfielder,Tottenham Hotspur,114,59,55,Morocco,6,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,0,0,0,0,0,0,0,0,2.37,38,19,0,0,0,-1,-1,-1,22
Adrian Leijer,34,512092800,Premier League,2007/2008,Defender,Fulham,0,0,0,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Afonso Alves Martins Júnior,39,349660800,Premier League,2007/2008,Forward,Middlesbrough,651,424,227,Brazil,11,5,2,6,5,1,0,0,0,0,0,3,3,0,7,4,3,0,0,0.83,0,0.83,1.06,0.4,109,0.97,93,59,0,0,0,4,142,-1,3
