full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aaron Hughes,40,310867200,Premier League,2012/2013,Defender,Fulham,2114,1034,1080,Northern Ireland,24,11,12,0,0,0,0,0,0,0,0,4,3,1,39,18,21,1,0,0,0,0,0,0,0,1.66,54,88,2114,0,0.04,354,346,136,19
Aaron Lennon,33,545526000,Premier League,2012/2013,Midfielder,Tottenham Hotspur,2840,1384,1456,England,34,16,17,4,3,1,7,5,2,0,0,9,5,4,29,11,18,1,0,0.35,0.22,0.13,0.2,0.06,710,0.92,98,84,2840,406,0.03,134,45,-1,6
Aaron Ramsey,29,662169600,Premier League,2012/2013,Midfielder,Arsenal,2084,937,1147,Wales,36,9,12,1,1,0,2,0,2,0,0,13,4,9,19,11,8,5,0,0.13,0.09,0.04,0.1,0,2084,0.82,110,58,417,1042,0.22,223,157,-1,12
Abdul Razak,27,721440000,Premier League,2012/2013,Midfielder,Manchester City,0,0,0,Côte d'Ivoire,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adam Campbell,25,788918400,Premier League,2012/2013,Forward,Newcastle United,23,23,0,England,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,-1,-1,-1,13
Adam David Lallana,32,579222000,Premier League,2012/2013,Midfielder,Southampton,2241,1111,1130,England,30,14,12,3,1,2,5,2,3,0,0,5,2,3,41,16,25,2,0,0.32,0.2,0.12,0.08,0.16,747,1.65,55,75,1121,448,0.08,145,63,-1,6
Adam Federici,35,475977600,Premier League,2012/2013,Goalkeeper,Reading,1890,1080,810,Australia,21,12,9,0,0,0,0,0,0,0,0,3,3,0,36,21,15,0,0,0,0,0,0,0,0,1.71,53,90,0,0,0,320,310,148,23
Adam Johnson,33,553215600,Premier League,2012/2013,Midfielder,Sunderland,2941,1506,1435,England,35,18,17,5,3,2,6,1,5,0,0,10,7,3,48,17,31,3,0,0.34,0.18,0.15,0.18,0.13,588,1.47,61,84,980,490,0.09,114,71,-1,4
Adam Le Fondre,33,533865600,Premier League,2012/2013,Forward,Reading,1488,749,739,England,34,5,6,12,8,4,2,1,1,3,0,4,4,0,34,17,17,3,0,0.85,0.12,0.73,0.96,0.49,124,2.06,44,44,496,744,0.18,5,128,-1,1
Adam Mitchell,25,786326400,Premier League,2012/2013,Midfielder,Sunderland,2,0,2,England,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,45,2,2,0,0,0,-1,-1,-1,28
