full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aaron Hughes,40,310867200,Premier League,2013/2014,Defender,Fulham,1063,450,613,Northern Ireland,13,5,6,0,0,0,0,0,0,0,0,2,1,1,25,11,14,2,0,0,0,0,0,0,0,2.12,43,82,532,0,0.17,325,319,173,38
Aaron Lennon,33,545526000,Premier League,2013/2014,Midfielder,Tottenham Hotspur,2184,901,1283,England,27,11,15,1,1,0,3,2,1,0,0,10,5,5,39,16,23,1,0,0.16,0.12,0.04,0.1,0,2184,1.61,56,81,2184,728,0.04,247,125,-1,8
Aaron McLean,37,422665200,Premier League,2013/2014,Forward,Hull City,6,0,6,England,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,-1,24
Aaron Ramsey,29,662169600,Premier League,2013/2014,Midfielder,Arsenal,1764,833,931,Wales,23,9,11,10,3,7,8,3,5,0,0,10,6,4,16,5,11,3,0,0.92,0.41,0.51,0.32,0.68,176,0.82,110,77,588,221,0.15,24,4,-1,2
Aaron Wilbraham,40,309308400,Premier League,2013/2014,Forward,Crystal Palace,81,81,0,England,4,1,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1.11,81,20,0,0,0,-1,-1,-1,15
Abdoulaye Diagne-Fayé,42,257299200,Premier League,2013/2014,Defender,Hull City,270,180,90,Senegal,3,2,1,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0.67,135,90,0,0,0,-1,-1,-1,22
Adam Armstrong,23,855532800,Premier League,2013/2014,Forward,Newcastle United,30,9,21,England,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,-1,-1,-1,14
Adam David Lallana,32,579222000,Premier League,2013/2014,Midfielder,Southampton,3099,1591,1508,England,38,19,18,9,6,3,6,3,3,0,0,15,7,8,38,20,18,3,0,0.44,0.17,0.26,0.34,0.18,344,1.1,82,82,1033,517,0.09,68,84,-1,3
Adam Johnson,33,553215600,Premier League,2013/2014,Midfielder,Sunderland,2442,1332,1110,England,36,15,13,8,4,4,5,3,2,1,0,10,6,4,43,21,22,2,0,0.48,0.18,0.29,0.27,0.32,305,1.58,57,68,1221,488,0.07,58,75,-1,1
Adam King,24,813366000,Premier League,2013/2014,Midfielder,Swansea City,0,0,0,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
