full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aaron Anthony Connolly,20,949046400,Premier League,2020/2021,Forward,Brighton & Hove Albion,287,119,168,Republic of Ireland,5,1,2,1,0,1,1,0,1,0,0,1,0,1,7,4,3,0,0,0.63,0.31,0.31,0,0.54,287,2.2,41,57,0,287,0,35,22,-1,7
Aaron Cresswell,30,629712000,Premier League,2020/2021,Defender,West Ham United,630,270,360,England,7,3,4,0,0,0,3,0,3,0,0,2,1,1,10,3,7,0,0,0.43,0.43,0,0,0,0,1.43,63,90,0,210,0,156,8,55,19
Aaron Ramsdale,22,895129200,Premier League,2020/2021,Goalkeeper,Sheffield United,630,360,270,England,7,4,3,0,0,0,0,0,0,0,0,0,0,0,10,5,5,0,0,0,0,0,0,0,0,1.43,63,90,0,0,0,193,196,49,10
Aaron Wan-Bissaka,22,880531200,Premier League,2020/2021,Midfielder,Manchester United,450,270,180,England,5,3,2,1,0,1,0,0,0,0,0,1,1,0,9,7,2,0,0,0.2,0,0.2,0,0.5,450,1.8,50,90,0,0,0,61,116,-1,5
Abdoulaye Doucouré,27,725875200,Premier League,2020/2021,Midfielder,Everton,561,233,328,France,7,3,4,0,0,0,1,1,0,0,0,1,0,1,10,5,5,2,0,0.16,0.16,0,0,0,0,1.6,56,80,281,561,0.32,191,64,-1,20
Aboubakar Kamara,25,794563200,Premier League,2020/2021,Forward,Fulham,219,138,81,France,5,1,1,0,0,0,0,0,0,0,0,0,0,0,8,4,4,2,1,0,0,0,0,0,0,3.29,27,44,73,0,1.23,-1,-1,-1,15
Adam David Lallana,32,579250800,Premier League,2020/2021,Midfielder,Brighton & Hove Albion,384,180,204,England,7,3,2,0,0,0,0,0,0,0,0,1,0,1,7,3,4,0,0,0,0,0,0,0,0,1.64,55,55,0,0,0,95,78,-1,17
Adam Webster,25,789206400,Premier League,2020/2021,Defender,Brighton & Hove Albion,630,270,360,England,7,3,4,0,0,0,0,0,0,0,0,1,0,1,13,6,7,1,0,0,0,0,0,0,0,1.86,48,90,630,0,0.14,97,84,72,16
Adama Traoré Diarra,24,822556800,Premier League,2020/2021,Midfielder,Wolverhampton Wanderers,311,134,177,Spain,7,1,2,0,0,0,0,0,0,0,0,4,2,2,5,3,2,0,0,0,0,0,0,0,0,1.45,62,44,0,0,0,94,91,-1,10
Ademola Lookman,22,877330800,Premier League,2020/2021,Forward,Fulham,203,90,113,England,3,1,1,1,0,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0.44,0,0.44,0,0.8,203,1.33,68,68,0,0,0,-1,-1,-1,2
Adrian Bernabe Garcia,19,990860400,Premier League,2020/2021,Midfielder,Manchester City,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adrián San Miguel del Castillo,33,536659200,Premier League,2020/2021,Goalkeeper,Liverpool,180,0,180,Spain,2,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,4.5,20,90,0,0,0,-1,-1,-1,12
Ahmed Eissa El Mohamady Abdel Fattah,33,558169200,Premier League,2020/2021,Midfielder,Aston Villa,33,33,0,Egypt,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,-1,-1,-1,14
Ahmed Hegazi,29,664790400,Premier League,2020/2021,Defender,West Bromwich Albion,90,90,0,Egypt,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,6
Ainsley Maitland-Niles,23,872838000,Premier League,2020/2021,Midfielder,Arsenal,187,3,184,England,4,0,2,0,0,0,0,0,0,0,0,2,0,2,3,0,3,0,0,0,0,0,0,0,0,1.44,62,47,0,0,0,-1,-1,-1,14
Aleksandar Mitrović,26,779698800,Premier League,2020/2021,Forward,Fulham,477,207,270,Serbia,6,2,3,2,0,2,0,0,0,1,1,0,0,0,11,5,6,1,0,0.38,0,0.38,0,0.67,239,2.08,43,80,477,0,0.19,27,162,-1,1
Alex Iwobi,24,831106800,Premier League,2020/2021,Forward,Everton,159,96,63,Nigeria,6,0,1,0,0,0,1,1,0,0,0,0,0,0,4,1,3,0,0,0.57,0.57,0,0,0,0,2.26,40,27,0,159,0,-1,-1,-1,13
Alex McCarthy,30,628675200,Premier League,2020/2021,Goalkeeper,Southampton,630,270,360,England,7,3,4,0,0,0,0,0,0,0,0,3,2,1,10,5,5,0,0,0,0,0,0,0,0,1.43,63,90,0,0,0,160,169,52,13
Alex Nicolao Telles,27,724406400,Premier League,2020/2021,Defender,Manchester United,0,0,0,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alexandre Lacazette,29,675414000,Premier League,2020/2021,Forward,Arsenal,425,167,258,France,6,2,3,3,1,2,0,0,0,0,0,2,0,2,4,2,2,1,0,0.64,0,0.64,0.54,0.7,142,0.85,106,71,425,0,0.21,14,170,-1,1
Alexis Mac Allister,21,914486400,Premier League,2020/2021,Midfielder,Brighton & Hove Albion,43,20,23,Argentina,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.09,0,2.09,0,3.91,43,2.09,43,14,0,0,0,-1,-1,-1,2
Alireza Jahanbakhsh,27,745052400,Premier League,2020/2021,Forward,Brighton & Hove Albion,27,27,0,Iran,3,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,3.33,3.33,0,0,0,0,0,0,9,27,27,3.33,-1,-1,-1,15
Alisson Becker,28,718009200,Premier League,2020/2021,Goalkeeper,Liverpool,450,360,90,Brazil,5,4,1,0,0,0,0,0,0,0,0,1,0,1,6,6,0,0,0,0,0,0,0,0,0,1.2,75,90,0,0,0,143,140,32,13
Allan,29,663321600,Premier League,2020/2021,Midfielder,Everton,540,180,360,Brazil,6,2,4,0,0,0,0,0,0,0,0,1,0,1,9,4,5,2,0,0,0,0,0,0,0,1.5,60,90,270,0,0.33,190,193,-1,21
Allan Saint-Maximin,23,858153600,Premier League,2020/2021,Midfielder,Newcastle United,424,270,154,France,6,4,2,1,1,0,1,1,0,0,0,1,0,1,5,5,0,0,0,0.42,0.21,0.21,0.33,0,424,1.06,85,71,0,424,0,52,41,-1,4
Alphonse Areola,27,730800000,Premier League,2020/2021,Goalkeeper,Fulham,450,180,270,France,5,2,3,0,0,0,0,0,0,0,0,0,0,0,11,5,6,0,0,0,0,0,0,0,0,2.2,41,90,0,0,0,165,163,87,12
Andi Zeqiri,21,930034800,Premier League,2020/2021,Forward,Brighton & Hove Albion,0,0,0,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
André Filipe Tavares Gomes,27,744015600,Premier League,2020/2021,Midfielder,Everton,366,162,204,Portugal,5,2,3,0,0,0,0,0,0,0,0,1,0,1,5,3,2,1,0,0,0,0,0,0,0,1.23,73,73,366,0,0.25,192,194,-1,19
André-Frank Zambo Anguissa,24,816508800,Premier League,2020/2021,Midfielder,Fulham,453,183,270,Cameroon,6,2,3,0,0,0,1,0,1,0,0,0,0,0,11,5,6,1,0,0.2,0.2,0,0,0,0,2.19,41,76,453,453,0.2,164,46,-1,13
Andreas Christensen,24,829119600,Premier League,2020/2021,Defender,Chelsea,315,135,180,Denmark,4,2,2,0,0,0,0,0,0,0,0,0,0,0,6,2,4,2,1,0,0,0,0,0,0,1.71,53,79,105,0,0.86,136,127,68,21
Andrew Robertson,26,763372800,Premier League,2020/2021,Defender,Liverpool,630,360,270,Scotland,7,4,3,1,1,0,2,1,1,0,0,1,0,1,15,6,9,0,0,0.43,0.29,0.14,0.25,0,630,2.14,42,90,0,315,0,88,29,84,4
Andriy Yarmolenko,30,625129200,Premier League,2020/2021,Forward,West Ham United,97,61,36,Ukraine,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,2.78,32,19,97,0,0.93,-1,-1,-1,12
Andros Townsend,29,679647600,Premier League,2020/2021,Midfielder,Crystal Palace,612,270,342,England,7,3,4,1,0,1,2,2,0,0,0,1,1,0,9,2,7,0,0,0.44,0.29,0.15,0,0.26,612,1.32,68,87,0,306,0,85,28,-1,4
Andy Carroll,31,600076800,Premier League,2020/2021,Forward,Newcastle United,152,49,103,England,5,1,1,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,1.18,76,30,0,0,0,-1,-1,-1,11
Angelo Ogbonna,32,580374000,Premier League,2020/2021,Defender,West Ham United,630,270,360,Italy,7,3,4,0,0,0,0,0,0,0,0,2,1,1,10,3,7,1,0,0,0,0,0,0,0,1.43,63,90,630,0,0.14,155,153,53,13
Anthony Driscoll-Glennon,20,943603200,Premier League,2020/2021,Defender,Burnley,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Anthony Gordon,19,983001600,Premier League,2020/2021,Midfielder,Everton,32,0,32,England,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,-1,-1,-1,11
Anthony Knockaert,28,690624000,Premier League,2020/2021,Midfielder,Fulham,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
